ADR_EGAID,STR_ESID,BDG_EGID,STN_LABEL,ADR_NUMBER,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
103021624,10020007,504062978,Talweg,1.1,6475 Bristen,1216,UR,real,23.07.2024,2696093.772,1180482.659
103021625,10120939,504063160,Hälteli,1.3,6475 Bristen,1216,UR,real,23.07.2024,2696626.441,1180400.261
103021626,10019998,504062397,Ruslistrasse,21.2,6473 Silenen,1216,UR,real,23.07.2024,2694372.865,1182136.842
103021627,10019994,504062690,Chieligerberg,1.4,6473 Silenen,1216,UR,real,23.07.2024,2695235.277,1182570.294
103021628,10020007,504062973,Talweg,12.1,6475 Bristen,1216,UR,real,23.07.2024,2697491.816,1179933.962
103021629,10104802,504063313,Golzern,17.2,6475 Bristen,1216,UR,real,23.07.2024,2698842.209,1181268.528
103021630,10020003,504063357,Friedlig,1.2,6475 Bristen,1216,UR,real,23.07.2024,2695173.346,1180118.786
103021631,10019997,504062435,Kirchstrasse,91.2,6473 Silenen,1216,UR,real,23.07.2024,2694158.018,1182717.141
103021632,10020000,504063669,Kohlplatz,10.2,6474 Amsteg,1216,UR,real,23.07.2024,2694068.846,1180304.945
103021633,10104802,504063312,Golzern,17.3,6475 Bristen,1216,UR,real,23.07.2024,2698834.5,1181240.025
103021634,10019998,504062396,Ruslistrasse,21.3,6473 Silenen,1216,UR,real,23.07.2024,2694451.534,1182140.4
103021635,10020007,504062977,Talweg,1.2,6475 Bristen,1216,UR,real,23.07.2024,2696101.882,1180473.803
103021636,10020007,504062965,Talweg,31.1,6475 Bristen,1216,UR,real,23.07.2024,2697124.022,1180386.367
103021637,10020003,504063356,Friedlig,1.3,6475 Bristen,1216,UR,real,23.07.2024,2695235.034,1180044.791
103021638,10104802,504063311,Golzern,18.1,6475 Bristen,1216,UR,real,23.07.2024,2698327.068,1181327.51
103021639,10019997,504062434,Kirchstrasse,93.1,6473 Silenen,1216,UR,real,23.07.2024,2694140.104,1182680.742
103021640,10019998,504062395,Ruslistrasse,21.4,6473 Silenen,1216,UR,real,23.07.2024,2694293.284,1182160.826
103021641,10177703,504063129,Limi,1.1,6475 Bristen,1216,UR,real,23.07.2024,2696603.484,1180060.725
103021642,10020001,504063528,Bristenstrasse,11.1,6475 Bristen,1216,UR,real,23.07.2024,2694873.163,1180542.132
103021643,10020007,504062976,Talweg,1.3,6475 Bristen,1216,UR,real,23.07.2024,2695952.392,1180509.056
103021644,10081165,504062615,Gotthardstrasse,122.1,6473 Silenen,1216,UR,real,23.07.2024,2693867.849,1183205.127
103021645,10019998,504062394,Ruslistrasse,24.1,6473 Silenen,1216,UR,real,23.07.2024,2694219.024,1182020.334
103021647,10104802,504063310,Golzern,2.1,6475 Bristen,1216,UR,real,23.07.2024,2697598.746,1180790.111
103021648,10081165,504062611,Gotthardstrasse,132.1,6473 Silenen,1216,UR,real,23.07.2024,2693900.635,1183077.333
103021649,10019997,504062433,Kirchstrasse,93.2,6473 Silenen,1216,UR,real,23.07.2024,2694110.569,1182703.685
103021650,10020003,504063355,Friedlig,2.1,6475 Bristen,1216,UR,real,23.07.2024,2695090.142,1180135.574
103021651,10020001,504063527,Bristenstrasse,15.1,6475 Bristen,1216,UR,real,23.07.2024,2694822.516,1180507.081
103021652,10177704,504063044,Schattigberg,1.4,6475 Bristen,1216,UR,real,23.07.2024,2698193.008,1180289.101
103021653,10020007,504062975,Talweg,10.1,6475 Bristen,1216,UR,real,23.07.2024,2696153.093,1180423.982
103021654,10019998,504062393,Ruslistrasse,3.1,6473 Silenen,1216,UR,real,23.07.2024,2694121.723,1182036.005
103021655,10177704,504063032,Schattigberg,7.1,6475 Bristen,1216,UR,real,23.07.2024,2698455.549,1180276.864
103021656,10019997,504062432,Kirchstrasse,95.1,6473 Silenen,1216,UR,real,23.07.2024,2694129.158,1182629.675
103021657,10020003,504063354,Friedlig,2.2,6475 Bristen,1216,UR,real,23.07.2024,2695096.243,1180080.293
103021658,10081169,504063019,Schattigmattstrasse,32.1,6475 Bristen,1216,UR,real,23.07.2024,2696966.315,1180192.216
103021659,10020007,504062974,Talweg,11.1,6475 Bristen,1216,UR,real,23.07.2024,2696212.509,1180448.202
103021660,10019997,504062431,Kirchstrasse,97.1,6473 Silenen,1216,UR,real,23.07.2024,2694112.041,1182513.582
103021661,10081169,504063007,Schattigmattstrasse,48.1,6475 Bristen,1216,UR,real,23.07.2024,2696706.767,1180302.123
103021662,10019998,504062392,Ruslistrasse,32.1,6473 Silenen,1216,UR,real,23.07.2024,2694430.129,1182015.538
103021663,10019997,504062430,Kirchstrasse,97.2,6473 Silenen,1216,UR,real,23.07.2024,2694157.832,1182568.396
103021664,10104802,504063258,Golzern,39.3,6475 Bristen,1216,UR,real,23.07.2024,2698386.51,1181425.806
103021665,10020003,504063353,Friedlig,2.3,6475 Bristen,1216,UR,real,23.07.2024,2694669.289,1179778.505
103021666,10066721,504062990,Steinmattstrasse,42.1,6475 Bristen,1216,UR,real,23.07.2024,2696415.469,1180203.778
103021667,10019994,504062687,Chieligerberg,1.7,6473 Silenen,1216,UR,real,23.07.2024,2695142.507,1182639.042
103021668,10019998,504062391,Ruslistrasse,32.2,6473 Silenen,1216,UR,real,23.07.2024,2694430.515,1182001.051
103021669,10191020,504062384,Stetten,1a.2,6473 Silenen,1216,UR,real,23.07.2024,2693680.257,1183889.445
103021670,10019997,504062429,Kirchstrasse,99.1,6473 Silenen,1216,UR,real,23.07.2024,2694102.101,1182401.573
103021671,10020007,504062972,Talweg,19.1,6475 Bristen,1216,UR,real,23.07.2024,2696385.411,1180429.356
103021672,10020003,504063351,Friedlig,2.5,6475 Bristen,1216,UR,real,23.07.2024,2694756.165,1179476.463
103021673,10104802,504063219,Golzern,64.4,6475 Bristen,1216,UR,real,23.07.2024,2699420.177,1182927.547
103021674,10019998,504062390,Ruslistrasse,40.1,6473 Silenen,1216,UR,real,23.07.2024,2694476.587,1182060.627
103021675,10020003,504063350,Friedlig,2.6,6475 Bristen,1216,UR,real,23.07.2024,2693868.565,1178281.857
103021676,10066716,504063435,Dorf,24.1,6475 Bristen,1216,UR,real,23.07.2024,2695649.371,1180500.518
103021677,10066720,504062421,Neuengaden,13.2,6473 Silenen,1216,UR,real,23.07.2024,2694067.199,1183468.729
103021678,10081165,504063719,Gotthardstrasse,19.2,6474 Amsteg,1216,UR,real,23.07.2024,2693907.363,1181035.68
103021679,10081165,504062598,Gotthardstrasse,200.1,6473 Silenen,1216,UR,real,23.07.2024,2693992.711,1182482.985
