STR_ESID;STN_LABEL;ZIP_LABEL;COM_FOSNR;COM_NAME;COM_CANTON;STR_TYPE;STR_STATUS;STR_OFFICIAL;STR_MODIFIED;STR_EASTING;STR_NORTHING
10256110;L'Adrey;1637 Charmey (Gruyère);2163;Val-de-Charmey;FR;Street;real;true;16.04.2024;2581251;1164964
10086278;Studenmattweg;1791 Courtaman;2254;Courtepin;FR;Street;real;true;16.04.2024;2577061;1191380
10252081;Les Râpes;1566 St-Aubin FR;2041;Saint-Aubin (FR);FR;Street;real;true;16.04.2024;2564728;1194913
10252420;Widenstrasse;9107 Urnäsch;3006;Urnäsch;AR;Street;planned;true;27.09.2023;2738939;1241196
10252657;Chemin des Broillets;1786 Sugiez;2284;Mont-Vully;FR;Street;real;true;16.04.2024;2572858;1202305
10085724;Mühlenstrasse;8200 Schaffhausen;2939;Schaffhausen;SH;Street;real;true;27.09.2023;2689290;1283167
10260987;Route du Bugnon;1684 Mézières FR;2087;Mézières (FR);FR;Street;real;true;16.04.2024;2559660;1168698
10253436;Gros Chadoua;1666 Grandvillard;2134;Grandvillard;FR;Street;real;true;16.04.2024;2574550;1150619
10109975;Unterstetten;9107 Urnäsch;3006;Urnäsch;AR;Street;real;true;27.09.2023;2737294;1239006
10022109;Chemin des Cerisiers;1796 Courgevaux;2250;Courgevaux;FR;Street;real;true;16.04.2024;2575135;1195968
10176375;Obere Egg;9056 Gais;3022;Gais;AR;Street;real;true;27.09.2023;2753551;1247921
10261011;Chemin des Toules;1666 Grandvillard;2134;Grandvillard;FR;Street;real;true;16.04.2024;2573436;1155127
10159680;Täfeli;9043 Trogen;3025;Trogen;AR;Street;real;true;27.09.2023;2755424;1251966
10253005;Le Saugy;1695 Estavayer-le-Gibloux;2236;Gibloux;FR;Street;real;true;16.04.2024;2568136;1175569
10129037;Hammerwinkel;8215 Hallau;2971;Hallau;SH;Street;real;true;27.09.2023;2676812;1283552
10259167;Chemin de la Maison Noire;1665 Estavannens;2162;Bas-Intyamon;FR;Street;real;true;16.04.2024;2573873;1157537
10253592;La Grange d'Amont;1678 Siviriez;2099;Siviriez;FR;Street;real;true;16.04.2024;2557014;1169270
10073634;Schulstrasse;8233 Bargen SH;2931;Bargen (SH);SH;Street;real;true;27.09.2023;2688151;1293859
10032578;Schwarzwaldstrasse;8226 Schleitheim;2952;Schleitheim;SH;Street;real;true;27.09.2023;2677217;1288976
10159375;Haut-des-Vignes;1796 Courgevaux;2250;Courgevaux;FR;Street;real;true;16.04.2024;2574873;1195575
10252872;Chemin Sous-le-Mont;1666 Grandvillard;2134;Grandvillard;FR;Street;real;true;16.04.2024;2573556;1154613
10253420;L'Aille;1666 Grandvillard;2134;Grandvillard;FR;Street;real;true;16.04.2024;2575196;1151541
10030493;Langenhus;9043 Trogen;3025;Trogen;AR;Street;real;true;27.09.2023;2753813;1251202
10171234;Hächlensteg;9035 Grub AR;3031;Grub (AR);AR;Street;real;true;27.09.2023;2756845;1256407
10024114;Praz au Favre;1628 Vuadens;2160;Vuadens;FR;Street;real;true;16.04.2024;2564898;1161838
10018441;Heerengarten;8233 Bargen SH;2931;Bargen (SH);SH;Street;real;true;27.09.2023;2687967;1294081
10252996;Champ-Peyro;1649 Pont-la-Ville;2147;Pont-la-Ville;FR;Street;real;true;16.04.2024;2574230;1172594
10252820;Chablets Dessous;1666 Grandvillard;2134;Grandvillard;FR;Street;real;true;16.04.2024;2574097;1153360
10179714;Gemsgasse;8200 Schaffhausen;2939;Schaffhausen;SH;Street;real;true;27.09.2023;2690319;1285538
10118151;Alpsteinstrasse;9100 Herisau;3001;Herisau;AR;Street;real;true;27.09.2023;2739123;1248590
10256154;Jognins Dessous;1637 Charmey (Gruyère);2163;Val-de-Charmey;FR;Street;real;true;16.04.2024;2580322;1161450
10123294;Heusonder;9107 Urnäsch;3006;Urnäsch;AR;Street;real;true;27.09.2023;2740005;1244630
10185320;Moos;9055 Bühler;3021;Bühler;AR;Street;real;true;27.09.2023;2749069;1248853
10246883;A1;1218 Le Grand-Saconnex;6623;Le Grand-Saconnex;GE;Street;real;true;27.09.2023;2498631;1122072
10246351;Parc d'Epagny;1284 Chancy;6611;Chancy;GE;Street;real;true;27.09.2023;2488441;1113051
10222179;Tunnel de Confignon;1232 Confignon;6618;Confignon;GE;Street;real;true;27.09.2023;2495606;1114760
10252438;Bahnweg;8862 Schübelbach;1346;Schübelbach;SZ;Street;real;true;11.03.2024;2713739;1226077
10222093;Chemin des Champs-du-Loup;1254 Jussy;6626;Jussy;GE;Street;real;true;27.09.2023;2509761;1120327
10222332;Chemin de Ferraz;1287 Laconnex;6627;Laconnex;GE;Street;real;true;27.09.2023;2491042;1113204
10043601;Bergstrasse;8280 Kreuzlingen;4671;Kreuzlingen;TG;Street;real;true;27.09.2023;2729959;1278264
10041932;Hauptstrasse;8532 Weiningen TG;4621;Warth-Weiningen;TG;Street;real;true;27.09.2023;2708932;1271978
10098989;Seeweg;8592 Uttwil;4451;Uttwil;TG;Street;real;true;27.09.2023;2743877;1271913
