ADR_EGAID,STR_ESID,BDG_EGID,STN_LABEL,ADR_NUMBER,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_OFFICIAL,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
100240082,10074404,475757,Speerblick,3,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687851,1282003
100240083,10074404,475758,Speerblick,4,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687864,1282018
100240084,10074404,475759,Speerblick,5,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687840,1282016
100240085,10074404,475760,Speerblick,6,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687853,1282031
100240086,10074404,475761,Speerblick,7,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687829,1282029
100240087,10074404,475762,Speerblick,8,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687843,1282043
100240088,10074404,475763,Speerblick,9,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687822,1282042
100240089,10074404,475764,Speerblick,10,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687831,1282056
100240090,10046610,475765,Säntisweg,5,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687830,1281957
100240091,10046610,475766,Säntisweg,6,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687841,1281972
100240092,10046610,475767,Säntisweg,6a,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687854,1281979
100240093,10046610,475770,Säntisweg,10,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687814,1282009
100240095,10091251,475774,Glärnischstrasse,3,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687781,1281937
100240096,10091251,475775,Glärnischstrasse,4,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687812,1281938
100240097,10091251,475778,Glärnischstrasse,8,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687776,1281976
100240099,10018163,475781,Tödistrasse,9,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687730,1281895
100240100,10018163,475782,Tödistrasse,10,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687753,1281905
100240101,10018163,475783,Tödistrasse,11,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687719,1281907
100240102,10018163,475784,Tödistrasse,12,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687751,1281907
100240103,10018163,475785,Tödistrasse,13,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687705,1281916
100240104,10018163,475786,Tödistrasse,14,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687730,1281931
100240105,10018163,475787,Tödistrasse,15,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687696,1281926
100240106,10017874,475790,Neubergstrasse,32,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687759,1281937
100240107,10017874,475792,Neubergstrasse,36,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687740,1281960
100240108,10017874,475794,Neubergstrasse,42,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687706,1281887
100240109,10017874,475796,Neubergstrasse,46,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687682,1281888
100240110,10074400,475797,Hardstrasse,51,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687671,1281914
100240111,10018160,475798,Schützenstrasse,16,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687577,1281809
100240112,10017852,475799,Bachtelstrasse,7,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687856,1282059
100240113,10046610,475800,Säntisweg,7,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687811,1281970
100240114,10046612,475801,Zollstrasse,30,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687904,1281947
100240115,10046610,475802,Säntisweg,2,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687871,1281933
