ADR_EGAID,STR_ESID,BDG_EGID,STN_LABEL,ADR_NUMBER,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_OFFICIAL,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
100239407,10089114,283696,Hirsernstrasse,16,6052 Hergiswil NW,1507,NW,real,True,12.04.2024,2666284,1205473
100239408,10089114,283697,Hirsernstrasse,18,6052 Hergiswil NW,1507,NW,real,True,12.04.2024,2666268,1205442
100239409,10089114,283698,Hirsernstrasse,20,6052 Hergiswil NW,1507,NW,real,True,12.04.2024,2666245,1205442
100239412,10089114,283701,Hirsernstrasse,26,6052 Hergiswil NW,1507,NW,real,True,12.04.2024,2666213,1205331
100239413,10089114,283702,Hirsernstrasse,28,6052 Hergiswil NW,1507,NW,real,True,12.04.2024,2666193,1205305
100239414,10020320,283704,Sonnhaldenstrasse,16,6052 Hergiswil NW,1507,NW,real,True,12.04.2024,2666024,1205203
100239415,10020320,283705,Sonnhaldenstrasse,18,6052 Hergiswil NW,1507,NW,real,True,12.04.2024,2666026,1205207
100239416,10020320,283706,Sonnhaldenstrasse,17,6052 Hergiswil NW,1507,NW,real,False,12.04.2024,2665999,1205236
100239417,10020320,283708,Sonnhaldenstrasse,28,6052 Hergiswil NW,1507,NW,real,True,12.04.2024,2666097,1205281
100239418,10020320,283709,Sonnhaldenstrasse,30,6052 Hergiswil NW,1507,NW,real,True,12.04.2024,2666100,1205316
100239419,10020320,283713,Sonnhaldenstrasse,38,6052 Hergiswil NW,1507,NW,real,True,12.04.2024,2666047,1205344
100239420,10020320,283714,Sonnhaldenstrasse,21,6052 Hergiswil NW,1507,NW,real,True,12.04.2024,2666072,1205354
100239421,10020320,283715,Sonnhaldenstrasse,23,6052 Hergiswil NW,1507,NW,real,False,12.04.2024,2666067,1205319
100239422,10020320,283716,Sonnhaldenstrasse,25,6052 Hergiswil NW,1507,NW,real,True,12.04.2024,2666052,1205303
100239423,10020320,283718,Sonnhaldenstrasse,27,6052 Hergiswil NW,1507,NW,real,True,12.04.2024,2666001,1205278
100239424,10020320,283719,Sonnhaldenstrasse,27a,6052 Hergiswil NW,1507,NW,real,True,12.04.2024,2665966,1205283
100239425,10020320,283720,Sonnhaldenstrasse,29,6052 Hergiswil NW,1507,NW,real,True,12.04.2024,2665944,1205278
100239426,10020320,283721,Sonnhaldenstrasse,33,6052 Hergiswil NW,1507,NW,real,True,12.04.2024,2665969,1205253
100269692,10195438,191267150,Krummenacher,3a,6370 Oberdorf NW,1508,NW,real,False,30.04.2024,2671645,1201220
100270247,10070084,191267230,Allmendstrasse,5.1,6382 Büren NW,1508,NW,real,False,30.04.2024,2672907,1198864
100270617,10176307,191267250,Oberfeld,1,6387 Oberrickenbach,1511,NW,real,True,12.04.2024,2675051,1191126
100285214,10070045,191389510,Hofurlistrasse,38,6373 Ennetbürgen,1505,NW,real,True,12.04.2024,2673345,1204126
100377916,10020842,191338750,Erlenbannstrasse,15b,6383 Dallenwil,1503,NW,real,True,12.04.2024,2672316,1197486
100378423,10175368,191338391,Rütimattli,1.1,6372 Ennetmoos,1506,NW,real,True,30.04.2024,2666332,1197539
