ADR_EGAID,STR_ESID,BDG_EGID,STN_LABEL,ADR_NUMBER,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_OFFICIAL,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
100241186,10024820,461160,Aeussere Baselstrasse,246,4125 Riehen,2703,BS,real,True,15.11.2024,2614805,1269538
100241187,10024820,461161,Aeussere Baselstrasse,248,4125 Riehen,2703,BS,real,True,15.11.2024,2614800,1269536
100241188,10024820,461162,Aeussere Baselstrasse,250,4125 Riehen,2703,BS,real,True,15.11.2024,2614796,1269534
100241189,10024820,461163,Aeussere Baselstrasse,252,4125 Riehen,2703,BS,real,True,15.11.2024,2614792,1269531
100241190,10024820,461164,Aeussere Baselstrasse,254,4125 Riehen,2703,BS,real,True,15.11.2024,2614787,1269529
100241191,10024820,461165,Aeussere Baselstrasse,256,4125 Riehen,2703,BS,real,True,15.11.2024,2614782,1269526
100241332,10181515,461875,Supperstrasse,32,4125 Riehen,2703,BS,real,True,15.11.2024,2615098,1268982
100241333,10181515,461876,Supperstrasse,34,4125 Riehen,2703,BS,real,True,15.11.2024,2615093,1268967
100241334,10181515,461877,Supperstrasse,36,4125 Riehen,2703,BS,real,True,15.11.2024,2615089,1268952
100241335,10181515,461878,Supperstrasse,38,4125 Riehen,2703,BS,real,True,15.11.2024,2615080,1268925
100241336,10181515,461879,Supperstrasse,40,4125 Riehen,2703,BS,real,True,15.11.2024,2615074,1268909
100241348,10024820,461167,Aeussere Baselstrasse,266,4125 Riehen,2703,BS,real,True,15.11.2024,2614719,1269481
100241349,10024820,461168,Aeussere Baselstrasse,268,4125 Riehen,2703,BS,real,True,15.11.2024,2614713,1269464
100241350,10024820,461169,Aeussere Baselstrasse,270,4125 Riehen,2703,BS,real,True,15.11.2024,2614708,1269460
100241351,10024820,461170,Aeussere Baselstrasse,272,4125 Riehen,2703,BS,real,True,15.11.2024,2614701,1269449
100241352,10024820,461171,Aeussere Baselstrasse,276,4125 Riehen,2703,BS,real,True,15.11.2024,2614694,1269441
100241353,10024820,461172,Aeussere Baselstrasse,278,4125 Riehen,2703,BS,real,True,15.11.2024,2614691,1269436
100241354,10024820,461173,Aeussere Baselstrasse,280,4125 Riehen,2703,BS,real,True,15.11.2024,2614680,1269429
100241355,10024820,461174,Aeussere Baselstrasse,282,4125 Riehen,2703,BS,real,True,15.11.2024,2614677,1269424
100241356,10024820,461175,Aeussere Baselstrasse,284,4125 Riehen,2703,BS,real,True,15.11.2024,2614672,1269421
100241357,10024820,461176,Aeussere Baselstrasse,286,4125 Riehen,2703,BS,real,True,15.11.2024,2614671,1269415
100241358,10024820,461177,Aeussere Baselstrasse,288,4125 Riehen,2703,BS,real,True,15.11.2024,2614667,1269412
100241359,10024820,461178,Aeussere Baselstrasse,290,4125 Riehen,2703,BS,real,True,15.11.2024,2614664,1269404
100241360,10024820,461179,Aeussere Baselstrasse,292,4125 Riehen,2703,BS,real,True,15.11.2024,2614658,1269392
100241361,10024820,461180,Aeussere Baselstrasse,294,4125 Riehen,2703,BS,real,True,15.11.2024,2614654,1269386
100241362,10024820,461181,Aeussere Baselstrasse,296,4125 Riehen,2703,BS,real,True,15.11.2024,2614635,1269371
100241363,10024820,461182,Aeussere Baselstrasse,298,4125 Riehen,2703,BS,real,True,15.11.2024,2614623,1269381
100241364,10024820,461183,Aeussere Baselstrasse,300,4125 Riehen,2703,BS,real,True,15.11.2024,2614619,1269347
100241365,10024820,461184,Aeussere Baselstrasse,302,4125 Riehen,2703,BS,real,True,15.11.2024,2614607,1269357
100241366,10024820,461185,Aeussere Baselstrasse,304,4125 Riehen,2703,BS,real,True,15.11.2024,2614604,1269323
100241367,10024820,461186,Aeussere Baselstrasse,306,4125 Riehen,2703,BS,real,True,15.11.2024,2614591,1269332
100241368,10024820,461187,Aeussere Baselstrasse,308,4125 Riehen,2703,BS,real,True,15.11.2024,2614474,1269218
100241369,10024820,461188,Aeussere Baselstrasse,310,4125 Riehen,2703,BS,real,True,15.11.2024,2614450,1269209
100241370,10024820,461189,Aeussere Baselstrasse,312,4125 Riehen,2703,BS,real,True,15.11.2024,2614432,1269202
100241371,10024820,461190,Aeussere Baselstrasse,314,4125 Riehen,2703,BS,real,True,15.11.2024,2614398,1269189
100241372,10024820,461191,Aeussere Baselstrasse,316,4125 Riehen,2703,BS,real,True,15.11.2024,2614379,1269182
