ADR_EGAID,STR_ESID,BDG_EGID,STN_LABEL,ADR_NUMBER,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_OFFICIAL,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
102840189,10189551,191904338,Alte Landstrasse,4.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2687872,1221371
102840190,10189551,191904339,Alte Landstrasse,70.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2687349,1221525
102840191,10189551,191904340,Alte Landstrasse,28.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2687718,1221422
102840193,10189551,191904342,Alte Landstrasse,146.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686280,1221611
102840194,10189551,191904343,Alte Landstrasse,146.2,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686288,1221603
102840196,10061326,191904344,Bommerhüttli,5.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686428,1218895
102840197,10021175,191904345,Bue,1.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686247,1219639
102840198,10021175,191904346,Bue,1.2,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686208,1219633
102840199,10021175,191904347,Bue,1.3,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686187,1219642
102840200,10064959,191904348,Furrenstrasse,16.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2685830,1221548
102840201,10064959,191904349,Furrenstrasse,18.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2685825,1221544
102840202,10178163,191904350,Gmeindhof,1.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686896,1220403
102840203,10178163,191904351,Gmeindhof,1.2,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686867,1220393
102840204,10178163,191904352,Gmeindhof,1.4,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686892,1220365
102840915,10189553,191905191,Hinterbuechholz,2.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686524,1220780
102840916,10064961,191905192,Höhenweg,2.2,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686355,1221724
102840917,10178918,191905193,Bärtschi,4.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2685911,1219170
102840918,10064954,191905194,Bachmattli,3.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686523,1219633
102840919,10064954,191905195,Bachmattli,2.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686431,1219714
102840920,10064954,191905196,Bachmattli,2.2,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686399,1219677
102840921,10189554,191905197,Lidostrasse,11.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2687059,1221222
102840922,10189554,191905198,Lidostrasse,20,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2687038,1221133
102840923,10189554,191905199,Lidostrasse,113.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2687599,1220790
102840924,10091894,191905200,Lorzenstrasse,15.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686848,1221239
102840925,10021475,191905201,Lutischwand,1.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686880,1219548
102840926,10021475,191905202,Lutischwand,2.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686809,1219463
102840927,10021475,191905203,Lutischwand,2.2,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686804,1219499
102840928,10021475,191905204,Lutischwand,2.5,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686825,1219473
102840929,10021475,191905205,Lutischwand,2.3,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686837,1219511
102840930,10021475,191905206,Lutischwand,2.4,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686826,1219494
102840931,10106766,191905207,Maisbühlstrasse,1.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686558,1220027
102840932,10106766,191905208,Maisbühlstrasse,1.2,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686562,1220016
102840933,10106766,191905209,Maisbühlstrasse,21.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686809,1219875
102840934,10106766,191905210,Maisbühlstrasse,49.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2687310,1219783
102840935,10106766,191905211,Maisbühlstrasse,51.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2687318,1219786
102840936,10106766,191905212,Maisbühlstrasse,52.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2687339,1219758
102840937,10106766,191905213,Maisbühlstrasse,52.2,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2687327,1219751
102840938,10106766,191905214,Maisbühlstrasse,53.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2687357,1219755
102840939,10106766,191905215,Maisbühlstrasse,54.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2687344,1219739
102840940,10106766,191905216,Maisbühlstrasse,55.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2687361,1219734
102840941,10106766,191905217,Maisbühlstrasse,61.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2687392,1219744
102840942,10106766,191905218,Maisbühlstrasse,67.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2687421,1219680
102840943,10106766,191905219,Maisbühlstrasse,70.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2687427,1219643
102840944,10106766,191905220,Maisbühlstrasse,72.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2687446,1219639
102840945,10182815,191905221,Maihofstrasse,10.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686245,1221036
102840946,10106766,191905222,Maisbühlstrasse,21.2,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686787,1219855
102840947,10021476,191905223,Maisbühlhof,1.2,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686860,1220047
102840948,10021476,191905224,Maisbühlhof,1.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686879,1220025
102840949,10021476,191905225,Maisbühlhof,1.3,6314 Unterägeri,1709,ZG,existing,True,17.01.2024,2686869,1220127
102840950,10021476,191905226,Maisbühlhof,1.4,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686854,1220155
102840960,10064963,191905236,Neuschellstrasse,6.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686320,1221322
102840962,10064963,191905238,Neuschellstrasse,6.2,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686334,1221323
102840964,10017222,191905240,Zugerstrasse,144.1,6314 Neuägeri,1709,ZG,existing,True,22.10.2023,2685473,1222508
102840965,10017222,191905241,Zugerstrasse,102.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2685728,1222045
102840966,10017222,191905242,Zugerstrasse,58.60,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686219,1221487
102840968,10017222,191905244,Zugerstrasse,29.31,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686655,1221340
102840969,10017222,191905245,Zugerstrasse,25.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686693,1221315
102840970,10017222,191905246,Zugerstrasse,8a.8b,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686906,1221380
102840972,10017222,191905247,Zugerstrasse,7.9,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686830,1221323
102840973,10189551,191905248,Alte Landstrasse,74.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2687340,1221527
102840974,10091887,191905249,Binzenstrasse,5.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686678,1221246
102840975,10091887,191905250,Binzenstrasse,5.2,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686702,1221256
102840976,10064956,191905251,Buchholzstrasse,25.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2686749,1220976
102840977,10186081,191905252,Büelbrunnen,3.1,6314 Unterägeri,1709,ZG,existing,True,22.10.2023,2685618,1220701
